,Name,Region,Color,RGB
0,Fp1,Frontal,#882255,"[136, 34, 85]"
1,AF7,Frontal,#882255,"[136, 34, 85]"
2,AF3,Frontal,#882255,"[136, 34, 85]"
3,F1,Frontal,#882255,"[136, 34, 85]"
4,F3,Frontal,#882255,"[136, 34, 85]"
5,F5,Frontal,#882255,"[136, 34, 85]"
6,F7,Frontal,#882255,"[136, 34, 85]"
7,FT7,Temporal,#EAB87B,"[234, 184, 123]"
8,FC5,Central,#CC6677,"[204, 102, 119]"
9,FC3,Central,#CC6677,"[204, 102, 119]"
10,FC1,Central,#CC6677,"[204, 102, 119]"
11,C1,Central,#CC6677,"[204, 102, 119]"
12,C3,Central,#CC6677,"[204, 102, 119]"
13,C5,Central,#CC6677,"[204, 102, 119]"
14,T7,Temporal,#EAB87B,"[234, 184, 123]"
15,TP7,Temporal,#EAB87B,"[234, 184, 123]"
16,CP5,Parietal,#44AA99,"[68, 170, 153]"
17,CP3,Parietal,#44AA99,"[68, 170, 153]"
18,CP1,Parietal,#44AA99,"[68, 170, 153]"
19,P1,Parietal,#44AA99,"[68, 170, 153]"
20,P3,Parietal,#44AA99,"[68, 170, 153]"
21,P5,Parietal,#44AA99,"[68, 170, 153]"
22,P7,Parietal,#44AA99,"[68, 170, 153]"
23,P9,Parietal,#44AA99,"[68, 170, 153]"
24,PO7,Occipital,#332288,"[51, 34, 136]"
25,PO3,Occipital,#332288,"[51, 34, 136]"
26,O1,Occipital,#332288,"[51, 34, 136]"
27,Iz,Occipital,#332288,"[51, 34, 136]"
28,Oz,Occipital,#332288,"[51, 34, 136]"
29,POz,Occipital,#332288,"[51, 34, 136]"
30,Pz,Parietal,#44AA99,"[68, 170, 153]"
31,CPz,Parietal,#44AA99,"[68, 170, 153]"
32,Fpz,Frontal,#882255,"[136, 34, 85]"
33,Fp2,Frontal,#882255,"[136, 34, 85]"
34,AF8,Frontal,#882255,"[136, 34, 85]"
35,AF4,Frontal,#882255,"[136, 34, 85]"
36,AFz,Frontal,#882255,"[136, 34, 85]"
37,Fz,Frontal,#882255,"[136, 34, 85]"
38,F2,Frontal,#882255,"[136, 34, 85]"
39,F4,Frontal,#882255,"[136, 34, 85]"
40,F6,Frontal,#882255,"[136, 34, 85]"
41,F8,Frontal,#882255,"[136, 34, 85]"
42,FT8,Temporal,#EAB87B,"[234, 184, 123]"
43,FC6,Central,#CC6677,"[204, 102, 119]"
44,FC4,Central,#CC6677,"[204, 102, 119]"
45,FC2,Central,#CC6677,"[204, 102, 119]"
46,FCz,Central,#CC6677,"[204, 102, 119]"
47,Cz,Central,#CC6677,"[204, 102, 119]"
48,C2,Central,#CC6677,"[204, 102, 119]"
49,C4,Central,#CC6677,"[204, 102, 119]"
50,C6,Central,#CC6677,"[204, 102, 119]"
51,T8,Temporal,#EAB87B,"[234, 184, 123]"
52,TP8,Temporal,#EAB87B,"[234, 184, 123]"
53,CP6,Parietal,#44AA99,"[68, 170, 153]"
54,CP4,Parietal,#44AA99,"[68, 170, 153]"
55,CP2,Parietal,#44AA99,"[68, 170, 153]"
56,P2,Parietal,#44AA99,"[68, 170, 153]"
57,P4,Parietal,#44AA99,"[68, 170, 153]"
58,P6,Parietal,#44AA99,"[68, 170, 153]"
59,P8,Parietal,#44AA99,"[68, 170, 153]"
60,P10,Parietal,#44AA99,"[68, 170, 153]"
61,PO8,Occipital,#332288,"[51, 34, 136]"
62,PO4,Occipital,#332288,"[51, 34, 136]"
63,O2,Occipital,#332288,"[51, 34, 136]"
